Smart TV 70” Crystal 4K Samsung 70AU7700 Wi-Fi - Bluetooth HDR Alexa Built in 3 HDMI 1 USB ; R$ 4.184,07 ;  Data: 30/10/2022 
Smart TV 55”4K Mini LED TCL 55C825 VA 120Hz - Wi-Fi Bluetooth Google Assistente 4 HDMI 2 USB ; R$ 4.463,07 ;  Data: 30/10/2022 
Smart TV 85” 4K Neo QLED Samsung QN85QN85BA - 120Hz Wi-Fi Bluetooth Alexa Google Assistente ; R$ 21.389,07 ;  Data: 30/10/2022 
Smart TV Samsung 50 Polegadas 4K QLED, HDMI, USB, Modo Game, Processador IA, Pontos Quânticos, Alexa Google Assistant, Preto - QN50Q80AAGXZD ; R$ 3.399,99 ;  Data: 30/10/2022 
Smart TV LG 43 Polegadas 4K 43UQ751C0SF WiFi Bluetooth HDR ThinQAI ; R$ 2.031,42 ;  Data: 30/10/2022 
Smart TV Philips Android 50" 4k 50pug7406/78 Google Assistant Comando de Voz Dolby Vision ; R$ 2.239,00 ;  Data: 30/10/2022 
TV Samsung 65 Polegadas Smart Neo QLED 8K ; R$ 17.047,26 ;  Data: 30/10/2022 
Smart TV 43” Full HD LED LG 43LM6370 60Hz - Wi-Fi Bluetooth HDR 3 HDMI 2 USB ; R$ 2.231,07 ;  Data: 30/10/2022 
Smart TV 55” 4K OLED LG 120Hz OLED55C2 AI - Processor Wi-Fi HDR Alexa Google Assistente 4 HDMI ; R$ 6.974,07 ;  Data: 30/10/2022 
Smart TV 55” 4K LED LG 55UQ801C0SBBWZ AI Processor - Wi-Fi Alexa Google Assistente 3 HDMI 2 USB ; R$ 2.789,07 ;  Data: 30/10/2022 
Smart TV 75” 8K Neo QLED Samsung QN75QN800B - VA 120Hz Wi-Fi Bluetooth HDR Alexa 4 HDMI 3 USB ; R$ 19.529,07 ;  Data: 30/10/2022 
Smart TV LED 32" HD Philco Roku TV Quad-core Dolby Audio Midia Cast Wi-Fi HDMI USB Bivolt PTV32G70RCH ; R$ 1.249,00 ;  Data: 30/10/2022 
Smart TV LED 65" Ultra HD 4K LG 65UP751C0SF.BWZ ThinQ AI 2 HDMI 1 USB Wi-Fi Bluetooth ; R$ 3.734,10 ;  Data: 30/10/2022 
Smart TV 55” 4K Ultra HD D-LED Aiwa IPS Android - Wi-Fi Bluetooth Google Assistente 4 HDMI 2 USB ; R$ 2.399,40 ;  Data: 30/10/2022 
Smart TV 65” 4K QLED Samsung 65Q70A Wi-Fi - Som em Movimento Virtual Processador IA HDR ; R$ 5.114,07 ;  Data: 30/10/2022 
