Notebook Gamer Dell G15-a0700-MM20P 15.6" FHD AMD Ryzen 7 16GB 512GB SSD NVIDIA RTX 3060 Windows 11 ; R$ 7.658,10 ;  Data: 14/10/2022 
Notebook A515-54-58Z4 Intel Core i5 8GB 512GB SSD 15,6 IPS Windows 11 Aspire 5 10ºGer Acer ; R$ 3.432,96 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 A515-56-55LD Intel Core i5 11ª Gen Windows 11 Home 8GB 256GB SSD 15,6' FHD ; R$ 3.059,10 ;  Data: 14/10/2022 
Notebook Gamer AN515-55-79X0 Nitro 5 Intel Core i7 8GB 512GB Windows 11 10ºGer Acer ; R$ 4.948,02 ;  Data: 14/10/2022 
Kit Notebook Dell Inspiron 15.6” i1101-M60SB FHD 11ªger Intel Core i7 16GB 512GB SSD NVIDIA Geforce Windows 11 Mochila ; R$ 5.948,10 ;  Data: 14/10/2022 
Notebook Dell Inspiron i15-i1100-M10P 15.6" Full HD Intel Pentium Gold 4GB 128GB SSD Windows 11 Preto ; R$ 2.963,05 ;  Data: 14/10/2022 
Notebook Samsung Book Intel Celeron 6305, 4GB RAM, HD 500GB, 15.6 Full HD, Intel UHD Graphics, Linux, Cinza - NP550XDZ-KO4BR ; R$ 1.759,99 ;  Data: 14/10/2022 
Notebook Lenovo Ultrafino IdeaPad 3i Intel Core I7-10510U, GeForce MX330, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Prata - 82BS000HBR ; R$ 5.299,99 ;  Data: 14/10/2022 
Notebook Lenovo IdeaPad 3 R5-5500U 8GB 256GB SSD W11 15.6" 82MF000ABR + GARANTIA PREMIUM 2 ANOS ; R$ 3.039,62 ;  Data: 14/10/2022 
Notebook Gamer Acer Nitro 5 AN517-52-77KZ Intel Core i7 Windows 11 Home 8GB 512GB SSD GTX 1650 17.3' ; R$ 5.399,10 ;  Data: 14/10/2022 
Notebook Lenovo Ideapad 3I-15IGL Celeron 128GB SSD 4GB Windows 11 15.6" ; R$ 1.849,90 ;  Data: 14/10/2022 
Notebook Acer Aspire 5 Intel Core i3-10110U, 4GB RAM, SSD 256GB NVMe, 15.6 Full HD Ultrafino, Windows 10 Home, Prata - A515-54-34LD ; R$ 2.699,99 ;  Data: 14/10/2022 
Notebook Acer Aspire 3 Intel Celeron N4500, 4GB RAM, SSD 128GB, 14' Full HD, Windows 11 Pro, Prata - A314-35-C1W1 ; R$ 1.999,99 ;  Data: 14/10/2022 
Notebook Gamer Legion 5i i7-11800H 8GB 512GB SSD PCIe RTX3060 6GB W11 15.6" Full HD 82MH0001BR - Lenovo ; R$ 7.919,10 ;  Data: 14/10/2022 
Notebook Samsung Galaxy Book Go 14" Full HD Snapdragon 8 núcleos 4GB 128GB SSD Windows 11 Professional NP340XLA-K05BR ; R$ 1.852,15 ;  Data: 14/10/2022 
Notebook ASUS X515JA-BR3932W Core i3 4GB 128GB SSD Windows 11 15,6" Cinza ; R$ 2.131,18 ;  Data: 14/10/2022 
Notebook Asus AMD Ryzen 5-3500U, 8GB RAM, SSD 256GB, 15,6', Radeon Vega 8, Linux, Cinza - M515DA-BR1213 ; R$ 3.199,99 ;  Data: 14/10/2022 
