Placa Vídeo Nvidia Quadro K4200 4GB Gddr5 256 Bits 1344 Cuda ; R$ 1.954,06 ;  Data: 17/10/2022 
Placa de Vídeo AFox GeForce GT210, 1GB, GDDR3, 64bit, AF210-1024D3L5-V2 ; R$ 229,00 ;  Data: 17/10/2022 
Placa de Video ASUS Geforce GTX 1050 TI OC 4GB DDR5 128 BITS CERBERUSGTX1050TIO4G ; R$ 1.743,91 ;  Data: 17/10/2022 
Placa de Video Galax Geforce GTX 1660 TI OC 6GB GDDR6 192 BITS - 60IRL7DSY91C ; R$ 2.214,87 ;  Data: 17/10/2022 
Placa De Vídeo Nvidia Gainward Ghost Geforce Rtx 3060TI 8gb ; R$ 3.789,99 ;  Data: 17/10/2022 
Placa De Vídeo Nvida Geforce G210 1Gb Ddr3 64 Bits Pcyes ; R$ 219,47 ;  Data: 17/10/2022 
Placa de Vídeo Asus NVIDIA GeForce GTX 1650 TUF Gaming 4GB GDDR6 128 Bits HDMI/DP/DVI TUF-GTX1650-4GD6-GAMING ; R$ 1.489,90 ;  Data: 17/10/2022 
Placa de video 1GB KP-GT210 Nvidia DDR3 HDMI Geforce - K-NUP ; R$ 222,03 ;  Data: 17/10/2022 
Placa De Vídeo Geforce GT 710 1GB DDR3 64bits Galaxy ; R$ 397,70 ;  Data: 17/10/2022 
Placa de Video Galax GeForce RTX 3060 (1-Click OC) 12GB LHR GDDR6 DLSS Ray Tracing 36NOL7MD1VOC ; R$ 3.235,05 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3060 Ti Eagle OC 8G (rev.2.0), RGB, 8GB GDDR6, LHR, DLSS, Ray Tracing - GV-N306TEAGLE OC-8GD ; R$ 3.099,99 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3080 Ti Gaming, 12GB GDDR6X, RGB, DLSS ; R$ 7.599,99 ;  Data: 17/10/2022 
Placa de Vídeo AFOX 1GB GeForce G210 DDR2 - AF210-1024D2LG2 ; R$ 252,20 ;  Data: 17/10/2022 
Placa de Vídeo Duex AMD Radeon RX 550, 4GB, DDR5 - DXRX5504GB ; R$ 949,05 ;  Data: 17/10/2022 
Placa de Vídeo NVIDIA GeForce RTX 3060 TI Ghost V1 8GB GDDR6 LHR NE6306T019P2-190AB V1 GAINWARD ; R$ 4.083,43 ;  Data: 17/10/2022 
Placa de Video NVIDIA Geforce GT740 4GB 128 Bits GDDR5 - AFOX AF740-4096D5H2-V2 ; R$ 1.352,71 ;  Data: 17/10/2022 
Placa de Vídeo Palit NVIDIA GeForce RTX 3050 Dual, 8GB, GDDR6, LHR, 128 Bits, HDMI/DP - NE63050019P1-190AD ; R$ 2.814,33 ;  Data: 17/10/2022 
Placa de Vídeo Galax GeForce RTX 3070 EX LHR 8GB GDDR6 256-bit (1-Click OC) Ray Tracing 2 - 37NSL6MD2VXI ; R$ 5.310,00 ;  Data: 17/10/2022 
Placa de Vídeo XFX Speedster MERC319 AMD Radeon RX 6750XT Black Gaming, 12GB GDDR6, Ray Tracing, RDNA2 - RX-675XYTBDP MERC319 BLACK ; R$ 3.399,99 ;  Data: 17/10/2022 
Placa de video pcyes amd radeon r5 230 2gb ddr3 64 bits low profile - pj230r364 ; R$ 328,90 ;  Data: 17/10/2022 
Placa de Vídeo Gainward GTX 1650 4gb Ghost ; R$ 2.198,90 ;  Data: 17/10/2022 
Placa de Vídeo NVIDIA GeForce GT210 1GB DDR3 64-Bits DVI HDMI VGA Galax - 21GGF4HI00NP ; R$ 285,43 ;  Data: 17/10/2022 
Placa de video 1GB KP-GT210 Nvidia DDR3 HDMI Geforce - K-NUP ; R$ 222,03 ;  Data: 17/10/2022 
Placa de Vídeo Asus GeForce RTX 3060 DUAL OC V2 LHR 12GB GDDR6 DLSS Ray Tracing 90YV0GB2-M0NA10 ; R$ 3.419,59 ;  Data: 17/10/2022 
Placa de Vídeo NVIDIA GeForce RTX 2060 SUPER GHOST 8GB GDDR6 PCI-E 3.0 NE6206S018P2-1160X GAINWARD ; R$ 2.852,78 ;  Data: 17/10/2022 
Placa De Vídeo Geforce GT 710 2GB DDR3 64bits Galaxy ; R$ 470,45 ;  Data: 17/10/2022 
Placa de Vídeo Geforce GT730 4GB DDR3 AF730-4096D3L6 - AFOX ; R$ 649,00 ;  Data: 17/10/2022 
Placa de video 1GB KP-GT210 Series DDR3 Nvidia Geforce - K-NUP ; R$ 234,16 ;  Data: 17/10/2022 
Placa de Video Afox Radeon R5 220 2GB DDR3 64BIT - AFR5220-2048D3L4 ; R$ 379,90 ;  Data: 17/10/2022 
Placa de Vídeo Afox NVIDIA GeForce GT 730 2GB - DDR3 128 bits AF730-2048D3L6 ; R$ 480,00 ;  Data: 17/10/2022 
Suporte Placa De Vídeo Branca Argb Controlável 5V 3 Pinos - Coolmoon ; R$ 171,17 ;  Data: 17/10/2022 
Placa De Video Colorful Geforce Gt 730 2Gb Ddr3 2Gd3-V - Nvidia ; R$ 693,22 ;  Data: 17/10/2022 
Placa De Vídeo Afox Gt-710 2Gb Ddr3 64Bit ; R$ 710,50 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3080 Ti Gaming, 12GB GDDR6X, RGB, DLSS ; R$ 7.999,99 ;  Data: 17/10/2022 
Placa de Vídeo AMD Radeon R5 230 2GB DDR3 64bits PCYes ; R$ 329,90 ;  Data: 17/10/2022 
Suporte Para Placa de Vídeo DT3 Sports HyperStone Sync RGB, 12015-9 - Dt3sports ; R$ 139,90 ;  Data: 17/10/2022 
Placa de Vídeo Asus AMD Radeon RX 6500 XT, OC, 4GB, GDDR6, OpenGL, Dual Fan - 90YV0HA1-M0NA00 ; R$ 2.349,49 ;  Data: 17/10/2022 
Placa De Video Duex 4gb Nvidia Gtx 1050 Ti Ddr5 Gtx1050 Ti-4gd5 ; R$ 1.979,00 ;  Data: 17/10/2022 
Placa de Vídeo Nvidia GeForce RTX 2060 Ghost 12GB GDDR6 NE62060018K9-1160L GAINWARD ; R$ 2.753,59 ;  Data: 17/10/2022 
Placa de Vídeo Galax GeForce RTX 2060 Super 8GB GDDR6 256-bit (1-Click OC) TecLab Lite - 26ISL6HP68LD ; R$ 3.231,72 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 2060 6GB GDDR6 ; R$ 3.297,03 ;  Data: 17/10/2022 
Placa de Video Colorful iGame GeForce RTX 3080 Advanced OC LHR-V 10GB GDDR6X 320bit ; R$ 6.401,03 ;  Data: 17/10/2022 
Placa de Vídeo Galax NVIDIA GeForce RTX 3080 SG, 12GB GDDR6X, LHR, DLSS, RGB, - 38NOM5MD99SS ; R$ 6.940,00 ;  Data: 17/10/2022 
Placa De Vídeo AFOX NVIDIA GeForce GT610 1GB DDR3 64bits - AF6102048D3L5 ; R$ 254,99 ;  Data: 17/10/2022 
Placa De Video Pcyes Geforce Nvidia G210 1gb Ddr3 - 64 Bits ; R$ 200,21 ;  Data: 17/10/2022 
Placa de Video 2Gb R7 240 Ddr5 128bit Vga/Dvi/Hdmi PV-04A DEX ; R$ 624,44 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte Geforce RTX 3080 VISION OC, LHR, 10GB, GDDR6X, DLSS, Ray Tracing, GV-N3080VI ; R$ 7.324,00 ;  Data: 17/10/2022 
Placa de vídeo bluecase geoforce gt-610 2gb ddr3 64bits ; R$ 480,00 ;  Data: 17/10/2022 
Placa de vídeo Nvidia DX G210LP-1GD3 ; R$ 319,00 ;  Data: 17/10/2022 
Placa de Vídeo Afox Radeon R5230 1GB DDR3 64 bits ; R$ 249,00 ;  Data: 17/10/2022 
Placa Vídeo Nvidia Quadro M5000, 8 Giga, 256 Bit, 2048 Cuda ; R$ 3.830,03 ;  Data: 17/10/2022 
Placa de Video Gt730 2gb Ddr3 64bits - BRAZIL PC ; R$ 24.300,00 ;  Data: 17/10/2022 
Placa de Vídeo GeForce GT 730 4GB GDDR3 128bits HDMI, DVI & VGA ; R$ 499,00 ;  Data: 17/10/2022 
Placa de Vídeo MSI NVIDIA Geforce RTX 3050 Gaming X 8G, 8GB GDDR6, RGB, DLSS, Ray Tracing - Geforce RTX 3050 Gaming X 8G ; R$ 2.199,99 ;  Data: 17/10/2022 
Placa De Video Afox Radeon R52202GbSddr3 64Bit, Lp Heatsink - Afr5220-2048D3L5-V2 ; R$ 268,89 ;  Data: 17/10/2022 
Placa De Video Pny Nvidia Quadro Turing T400 2gb Gddr6 64-bits Vcnt400-pb ; R$ 999,59 ;  Data: 17/10/2022 
Placa de video 1gb pcyes g210 ddr3 64 pa210g6401d3lp ; R$ 277,00 ;  Data: 17/10/2022 
Placa De Video Afox 4gb Gt 730 Ddr3 128bitz Af730-4096d3l6 ; R$ 699,00 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte NVIDIA GeForce GTX 1660 6GB ; R$ 2.200,00 ;  Data: 17/10/2022 
Placa de Vídeo Nvidia GeForce RTX 3080 Phoenix 10GB GRRD6X NED3080019IA-132AX GAINWARD ; R$ 7.051,91 ;  Data: 17/10/2022 
Placa de Vídeo AMD Radeon RX 6600 Swft 210 8GB GDDR6 RX-66XL8LFDQ XFX ; R$ 2.886,06 ;  Data: 17/10/2022 
Placa De Vídeo Palit Nvidia Geforce RTX 3070Ti GamingPro 8GB ; R$ 6.090,00 ;  Data: 17/10/2022 
Placa de Vídeo Afox Radeon R5 230 1GB - DDR3 64 bits AFR5230-1024D3L4 ; R$ 237,49 ;  Data: 17/10/2022 
Placa De Video Duex 2gb Nvidia Gtx 750ti Ddr5 Gtx750ti-2gd5 ; R$ 1.259,00 ;  Data: 17/10/2022 
Placa de Vídeo Zotac GEFORCE RTX 3080 Ti Trinity, 12GB GDDR6X, 19Gbps, RGB, LHR, Ray Tracing, DLSS e IceStorm 2.0 - ZT-A30810D-10P ; R$ 7.999,99 ;  Data: 17/10/2022 
Placa de Vídeo MSI NVIDIA GeForce RTX 3090 Ventus 3X OC, 24GB GDDR6X, DLSS, Ray Tracing - 912-V388-002 ; R$ 9.399,99 ;  Data: 17/10/2022 
Placa de Vídeo Radeon HD 6570 2GB DDR3 128BITS PC YES - Pcyes ; R$ 680,90 ;  Data: 17/10/2022 
Placa de Vídeo Pcyes AMD Radeon HD5450, 1GB, DDR3, com Kit Low Profile - PJ1G5450R3 ; R$ 249,90 ;  Data: 17/10/2022 
Placa De Vídeo Rtx 3070 Ti, Gainward, 8 Gb, Phoenix, Gddr6X, Rgb ; R$ 4.496,18 ;  Data: 17/10/2022 
Placa de Vídeo PCYES GT730, 4GB, GDDR5, 64 Bits - PJGT7304GB64 ; R$ 680,23 ;  Data: 17/10/2022 
Placa de video pcyes radeon hd 5450 1gb ddr3 64 bits ; R$ 269,99 ;  Data: 17/10/2022 
Placa de video 1GB Nvidia KP-GT210 HDMI DDR3 Geforce - K-NUP ; R$ 234,16 ;  Data: 17/10/2022 
Placa de Vídeo AMD Radeon RX 6600 Swft 210 8GB GDDR6 RX-66XL8LFDQ XFX ; R$ 2.886,06 ;  Data: 17/10/2022 
Placa De Vídeo Nvida Geforce G210 1gb Ddr3 64 Bits Pcyes ; R$ 285,00 ;  Data: 17/10/2022 
Placa de vídeo Dazz Geforce GT210 1GB DDR3 64BIT Single Fan ; R$ 299,90 ;  Data: 17/10/2022 
Placa de Vídeo PNY GTX 1650 4GB, Dual Fan, DDR6, 128 Bit, HDMI, Display Port - VCG16504D6DFPPB ; R$ 1.399,00 ;  Data: 17/10/2022 
Placa De Vídeo Zotac Nvidia Geforce Rtx 3090 Ti 24Gb Gddr6X ; R$ 13.144,70 ;  Data: 17/10/2022 
Placa de Video Galax Geforce GT 210 1gb Ddr3 64 Bits Dvi/hdmi/vga - LOW Profile - 21ggf4hi00np ; R$ 246,33 ;  Data: 17/10/2022 
Placa de Vídeo Galax NVIDIA GeForce GTX 1660 Super, 1 Click, OC, 6GB, GDDR6, 192 Bits, DVI, HDMI e DisplayPort - 60SRL7DSY91S ; R$ 2.199,90 ;  Data: 17/10/2022 
Placa De Vídeo Nvidia Geforce 200 Series 210 1gb - WAY ; R$ 313,99 ;  Data: 17/10/2022 
Placa de Vídeo Palit NVIDIA GeForce RTX 3080 TI GamingPro, 12GB, GDDR6X, 384 BITS, LHR, HDMI/DP - NED308T019KB-132AA ; R$ 9.399,90 ;  Data: 17/10/2022 
Placa de Vídeo Afox GeForce GT610 1GB DDR3 64 bits ; R$ 275,49 ;  Data: 17/10/2022 
Placa de Vídeo AMD Afox Radeon RX 560 4GB DDR5 128 Bits - AFRX560-4096D5H4-V2 ; R$ 1.742,90 ;  Data: 17/10/2022 
Placa De Vídeo Colorful Geforce Rtx 3050 Ultra White Oc Edicao Especial Ano Novo ; R$ 4.804,56 ;  Data: 17/10/2022 
Placa de Video Afox Geforce Gt610 1gb Ddr3 128-bit-af610 - ACER ; R$ 259,06 ;  Data: 17/10/2022 
Placa de Video GTX 750TI 2GB GDDR5 128 BITS PJ750TIR5DF - PCYES ; R$ 1.389,90 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3080 Ti Gaming, 12GB GDDR6X, RGB, DLSS ; R$ 7.599,99 ;  Data: 17/10/2022 
Placa de Vídeo Galax NVIDIA GeForce GTX 1660 Ti 1-Click OC 6GB, GDDR6 - 60IRL7DSY91C ; R$ 1.999,99 ;  Data: 17/10/2022 
Placa de video gpu gt730 4gb ddr3 128 bit atx / egan7304d3/128-atx - EVOLUT ; R$ 579,00 ;  Data: 17/10/2022 
Placa de video r5 220 2gb ddr3 64 bits- afr5220-2048d3l5-v2 afox ; R$ 268,93 ;  Data: 17/10/2022 
Placa de Vídeo NVIDIA Gainward GeForce RTX 3060 12GB DDR6 192 Bits - NE63060019K9-190AU ; R$ 4.261,90 ;  Data: 17/10/2022 
Placa de vídeo Bluecase Geforce GT 210 / 1GB / DDR3 / 64bits - BP-GT210-1GD3D1 - Blue Case - Nvidia ; R$ 299,90 ;  Data: 17/10/2022 
Placa De Vídeo Gainward Geforce Gtx 1650 4gb Ghost Gddr6 128-bits ; R$ 1.675,00 ;  Data: 17/10/2022 
Placa De Video Msi Geforce Rtx 3080 Ventus 3x Plus, Lhr, 10gb, Gddr6x, 320-bit, 912-v389-263 ; R$ 7.190,90 ;  Data: 17/10/2022 
Placa de video afox geforce gt240 1gb ddr3 128 bits lp - hdmi - dvi - vga - af240-1024d3l2 ; R$ 350,25 ;  Data: 17/10/2022 
Placa de Vídeo AMD Radeon R7 PV-04A 2GB - Dex ; R$ 699,00 ;  Data: 17/10/2022 
Placa de video nvidia geforce gt 210 1gb gddr3 af210-1024d3l * ; R$ 369,00 ;  Data: 17/10/2022 
Placa De Video Nvidia Gt 210 1gb Hdmi Vga Dvi - PCYES ; R$ 291,79 ;  Data: 17/10/2022 
Placa de Vídeo AFOX 1GB GeForce G210 DDR3 - AF210-1024D3L8 ; R$ 252,20 ;  Data: 17/10/2022 
Placa de Vídeo Galax GeForce GTX 1650 EX 4GB GDDR6 - 65SQL8DS66E6 ; R$ 1.548,00 ;  Data: 17/10/2022 
Placa de Vídeo Asus GeForce GTX 1650 OC 4GB Phoenix GDDR6 PH-GTX1650-4GD6 ; R$ 1.756,41 ;  Data: 17/10/2022 
Placa De Vídeo Galax Gtx 1650 4g Gddr6 Ex 1 Click Oc 128bt ; R$ 1.730,48 ;  Data: 17/10/2022 
Placa de Vídeo Galax GeForce RTX 3050 EX 1-Click OC 8GB GDDR6 128-bit - 35NSL8MD6YEX ; R$ 3.231,72 ;  Data: 17/10/2022 
Placa de Vídeo Galax NVIDIA GeForce GTX 1650 EX, 1 Click, OC, 4GB, GDDR6, 128 Bits, DVI, HDMI e DisplayPort - 65SQL8DS66E6 ; R$ 1.887,78 ;  Data: 17/10/2022 
Placa de Vídeo PCYes AMD Radeon R5 230, 2GB, DDR3 - PA230R502D3LW ; R$ 549,90 ;  Data: 17/10/2022 
Suporte Placa de Vídeo Gamer Rise Mode LV2 Small Várias Cores - Vga ; R$ 35,51 ;  Data: 17/10/2022 
Placa de Video Pcyes Geforce GTX1050TI 4gb Ddr5 HDMI/DVI/DP ; R$ 1.349,90 ;  Data: 17/10/2022 
Placa de Vídeo Nvidia GeForce RTX 3050 OC 8GB GDDR6 35NSL8MD5YBP GALAX ; R$ 2.603,69 ;  Data: 17/10/2022 
Placa De Vídeo Afox Geforce Gt 740 4gb Gddr5 DVI/HDMI/VGA ; R$ 903,90 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte GeForce GTX1660 Super - 6GB ; R$ 2.900,00 ;  Data: 17/10/2022 
Placa de Video ASUS Geforce RTX 3070 TI 8GB GDDR6 256 BITS - TUF-RTX3070TI-O8G-GAMING ; R$ 7.467,99 ;  Data: 17/10/2022 
Placa de Vídeo AMD Radeon R7 PV-04A 2GB - Dex ; R$ 678,03 ;  Data: 17/10/2022 
Placa de video palit geforce gtx 1660 super stormx oc 6gb gddr6 192 bits - ne6166s018j9-161f ; R$ 1.218,86 ;  Data: 17/10/2022 
Placa De Vídeo Galax Nvidia Geforce Rtx 3080 Ti Sg 1 Click ; R$ 7.588,80 ;  Data: 17/10/2022 
Placa de video r5 230 2gb ddr3 64 bits pjr230rlp - pcyes ; R$ 429,55 ;  Data: 17/10/2022 
Placa de video 1gb ddr3 64 bits geforce gt610 afox pci-e 2.0 vga/dvi/hdmi ; R$ 317,97 ;  Data: 17/10/2022 
Placa de Vídeo Asus NVIDIA GeForce RTX 3090 24GB GDDR6X ROG-STRIX-RTX3090-O24G-GAMING ; R$ 29.750,00 ;  Data: 17/10/2022 
Placa de Video Colorful GeForce GT 1030 2GB V6-V GDDR4 64bit ; R$ 716,83 ;  Data: 17/10/2022 
Placa De Vídeo Ati Radeon Hd 5450 1gb Ddr3 Hdmi Pcyes Low Nf ; R$ 286,89 ;  Data: 17/10/2022 
Placa de Video ASUS Geforce GTX 1650 Dual 4GB DDR5 128 BITS - DUAL-GTX1650-4G ; R$ 1.903,60 ;  Data: 17/10/2022 
Placa de Video AFOX Geforce GTX750 4GB GDDR5 128 BITS - HDMI - DVI - VGA - AF750-4096D5L4 ; R$ 1.148,02 ;  Data: 17/10/2022 
Placa De Video Geforce G 210 1GB DDR3 64 Bits C/ Kit Low Profile Single Fan - PA210G6401D3LP - PCYES ; R$ 233,62 ;  Data: 17/10/2022 
Placa De Vídeo Galax Nvidia Geforce Gtx 1650 Ex 4gb 1 Click Oc - Preto - 65sql8ds66e6 ; R$ 1.846,90 ;  Data: 17/10/2022 
Placa de vídeo Dell ATI AMD FirePro V4900 de 1 GB 102C338030 - UNIVERSAL ; R$ 897,75 ;  Data: 17/10/2022 
Placa de video 1GB KP-GT210 DDR3 Nvidia Series Geforce - K-NUP ; R$ 222,03 ;  Data: 17/10/2022 
Placa de Vídeo Nvidia Colorful Geforce Gtx 1050 Ti 4gb Gddr5 ; R$ 1.861,99 ;  Data: 17/10/2022 
Placa de video gigabyte geforce gt 1030 low profile d4 2g ; R$ 815,18 ;  Data: 17/10/2022 
Placa de Vídeo Asus TUF Gaming NVIDIA Geforce GTX 1660 Ti 6GB - A.SU.S ; R$ 2.900,00 ;  Data: 17/10/2022 
Placa De Video Gt210 1Gb Ddr3 64Bits Nvidia/Dex - Ref:Pv-02 ; R$ 360,00 ;  Data: 17/10/2022 
Placa de Vídeo Nvidia GeForce GTX 1660 Super OC Edition 6GB GDDR6 TUF-GTX1660S-O6G-GAMING ASUS ; R$ 2.497,29 ;  Data: 17/10/2022 
Placa De Vídeo Galax Geforce Rtx 3070 Ti Lhr 1 Click 8Gb Preta ; R$ 4.563,70 ;  Data: 17/10/2022 
Placa de Vídeo NVIDIA GeForce GTX 1660 Super 6GB GDDR6 PCI-E 3.0 60SRL7DSY91S GALAX ; R$ 2.174,38 ;  Data: 17/10/2022 
Placa de Video 4Gb GT730 Ddr3 128bits Vga/Hdmi/Dvi AKN730D3S4GL1 Arktek ; R$ 520,90 ;  Data: 17/10/2022 
Placa de video gt610 1gb ddr3 - af610-1024d3l5 - 0081120-01 - AFOX ; R$ 226,45 ;  Data: 17/10/2022 
Placa De Video Gef Rtx 2060 Gddr6 6GB, 192 Dual Fan - PCYes ; R$ 2.371,00 ;  Data: 17/10/2022 
Placa de video 1GB KP-GT210 DDR3 Nvidia Geforce Series - K-NUP ; R$ 222,03 ;  Data: 17/10/2022 
Placa de Vídeo Galax GeForce GTX 1660 1-Click OC Dual 6GB GDDR5 192Bit 60SRH7DSY91C ; R$ 2.853,97 ;  Data: 17/10/2022 
Placa de Video Power Color Radeon RX 550 4GB GDDR5 128BITS - AXRX 550 4GBD5-HLE ; R$ 1.588,97 ;  Data: 17/10/2022 
Placa de Vídeo Galax RTX 3080 SG, 12GB GDDR6X, LHR, DLSS, RGB, Ray Tracing - 38NOM5MD99SS - Nvidia ; R$ 9.959,49 ;  Data: 17/10/2022 
Placa de Vídeo Zotac NVIDIA GeForce RTX 3080 TI Trinity OC, 12GB, GDDR6X, 384 Bits, IceStorm 2.0, RGB, HDMI e DisplayPort - ZT-A30810J-10P ; R$ 11.703,64 ;  Data: 17/10/2022 
Placa de Vídeo MSI NVIDIA Geforce RTX 3090 Ventus 3X 24G OC, 24GB GDDR6X, Ray Tracing, DLSS ; R$ 8.899,99 ;  Data: 17/10/2022 
Placa de Video Colorful GeForce GTX 1650 NB 4GB GDDR6 128bit COLORFUL ; R$ 1.790,00 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte RTX 3090 Turbo 24G GDDR6X 384 bit - GIGABYTE SERVER ; R$ 24.267,90 ;  Data: 17/10/2022 
Placa De Video Geforce Gt210 1gb Ddr3 64 Bits Low Profile - Pcyes ; R$ 329,99 ;  Data: 17/10/2022 
Placa De Video Colorfull 2gb Gt1030 Ddr4 64bitz V4-v ; R$ 899,90 ;  Data: 17/10/2022 
Placa de Vídeo PCYes GT 740 4GB DDR5 128 Bits - PA740GT12804D5FZ ; R$ 1.029,00 ;  Data: 17/10/2022 
Placa De Vídeo Gt 730 4gb Ddr3 64 Bits Geforce Nvidia - Afox ; R$ 722,00 ;  Data: 17/10/2022 
Placa de Vídeo Nvidia GeForce RTX 3050 Ghost 8GB GDDR6 NE63050019P1-190AB GAINWARD ; R$ 2.836,29 ;  Data: 17/10/2022 
Placa de Vídeo Galax GeForce RTX 3060 12GB - GDDR6 192 bits 36NOL7MD1VOC ; R$ 3.796,49 ;  Data: 17/10/2022 
Placa de Video ASUS Geforce GTX 1050 TI OC 4GB DDR5 128 BITS - CERBERUS-GTX1050TI-O4G ; R$ 1.843,57 ;  Data: 17/10/2022 
Placa de video afox radeon rx 550 4gb gddr5 128 bits - hdmi - dvi - dp - afrx550-4096d5h4-v5 ; R$ 1.888,96 ;  Data: 17/10/2022 
Placa De Video Galax 12gb Nv Rtx 3060 1-click Oc Gddr6 192bits ; R$ 3.999,00 ;  Data: 17/10/2022 
Placa de vídeo Dazz Geforce GT730 2GB DDR3 64BIT Single Fan ; R$ 619,90 ;  Data: 17/10/2022 
Placa De Video Colorful Gt 710 2Gb Ddr3 Colorful ; R$ 537,78 ;  Data: 17/10/2022 
Placa De Video Gainward 12GB RTX 3080 Ti Phoenix DDR6x 384bits RGB NED308T019KB-132AX ; R$ 22.309,99 ;  Data: 17/10/2022 
Placa de Vídeo Asus NVIDIA GeForce RTX 3090 24GB GDDR6X ROG-STRIX-RTX3090-O24G-GAMING ; R$ 29.750,00 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3080 Ti Gaming, 12GB GDDR6X, RGB, DLSS ; R$ 7.999,99 ;  Data: 17/10/2022 
Placa de Vídeo PCYES GeForce GT 1030, 2GB, GDDR5, 64 Bits - PJGT1030DR5 ; R$ 897,28 ;  Data: 17/10/2022 
Placa De Video Rtx 2060 12gb Gddr6 192 Bit Dual-Fan Graffiti - PCYes ; R$ 2.588,00 ;  Data: 17/10/2022 
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3080 Ti Gaming, 12GB GDDR6X, RGB, DLSS ; R$ 7.968,56 ;  Data: 17/10/2022 
Placa de Video 4Gb Nividia GT 740 GDDR5 128 Bits PCI-E 3.0 HDMI VGA DVI - PCYES ; R$ 836,99 ;  Data: 17/10/2022 
Placa De Video Msi Geforce Gtx 1650 D6 Ventus 4gb Gddr6 912-V809-4057 ; R$ 1.759,00 ;  Data: 17/10/2022 
Placa De Video Gainward 12GB RTX 3080 Ti Phoenix DDR6x 384bits RGB NED308T019KB-132AX ; R$ 18.699,92 ;  Data: 17/10/2022 
Placa de Vídeo Profissional Nvidia Quadro RTX A2000 6GB GDDR6 VCNRTXA2000-PB PNY ; R$ 4.238,33 ;  Data: 17/10/2022 
Placa De Vídeo AFOX NVIDIA GeForce GT610 2GB DDR3 64bits - AF610-2048D3L7-V8 ; R$ 315,24 ;  Data: 17/10/2022 
Placa de Vídeo Asus TUF RTX 3080 0O10G V2 Gaming, RGB, 19 Gbps, 10GB GDDR6X - Nvidia ; R$ 8.409,49 ;  Data: 17/10/2022 
Placa De Vídeo Amd Pcyes Radeon R5 200 Series R5 230 2gb - PC YES ; R$ 348,04 ;  Data: 17/10/2022 
Placa de Vídeo Afox NVIDIA GeForce GT210, 1GB, DDR3 - AF210-1024D3L5 ; R$ 517,01 ;  Data: 17/10/2022 
Placa de Vídeo GeForce NVIDIA 6GB DDR5 192 Bits GTX 1660 Galax ; R$ 2.289,90 ;  Data: 17/10/2022 
Placa de Vídeo Galax Geforce RTX 2060 OC Dual 6GB GDDR6 192Bit 26NRL7HPX7OC ; R$ 3.313,14 ;  Data: 17/10/2022 
Placa de vídeo NVIDIA Geforce GT610 2Gb DVI HDMI VGA PCI-E AF610-2048D3L7-V8(DDR3) - Low Profile - AFOX ; R$ 349,99 ;  Data: 17/10/2022 
Placa de Video Powercolor Radeon RED Devil RX 6900XT 16GB GDDR6 AXRX 6900XT 16GBD6-3DHE/OC ; R$ 11.538,78 ;  Data: 17/10/2022 
Placa de Vídeo Galax GeForce GT 1030 2GB - DDR4 64 bits ; R$ 2.116,90 ;  Data: 17/10/2022 
Placa de Vídeo 2GB Pcyes GT710 DDR3 64Bits PA710GT6402D3LP ; R$ 799,99 ;  Data: 17/10/2022 
Placa de Vídeo Nvidia Colorful Geforce Gtx 1050 Ti 4gb Gddr5 ; R$ 1.753,90 ;  Data: 17/10/2022 
Placa de video palit geforce gt 1030 2gb ddr4 64 bits dvi hdmi - nec103000646-1082f ; R$ 783,64 ;  Data: 17/10/2022 
Placa de Video Gamer GT 740 4gb 128bits PcYes Nvidia Geforce - 7893333218111 ; R$ 972,81 ;  Data: 17/10/2022 
Placa de Video Gainward Nvidia Geforce GT1030 2GB-DDR4-64bits - NEC103000646-1082F ; R$ 872,81 ;  Data: 17/10/2022 
Placa de Vídeo Galax GeForce GTX 1660 Ti OC (1-Click OC) Dual 6GB GDDR6 192Bit 60IRL7DSY91C ; R$ 2.711,27 ;  Data: 17/10/2022 
Placa de video 1GB DDR3 Nvidia Geforce KP-GT210 HDMI - K-NUP ; R$ 222,03 ;  Data: 17/10/2022 
Placa de Vídeo Nvidia GeForce RTX 2060 Plus OC 6GB GDDR6 26NRL7HP68CX GALAX ; R$ 2.461,29 ;  Data: 17/10/2022 
Placa de Video 2Gb GT730 Ddr3 128bit Vga/Hdmi/Dvi KP-GT730/AB Knup ; R$ 538,40 ;  Data: 17/10/2022 
Placa de Video Gigabyte DDR5 Z690 Aero D ; R$ 5.329,14 ;  Data: 17/10/2022 
Placa De Video Pci-e 12gb Gddr6x Galax Rtx 3080 Ti ; R$ 10.493,83 ;  Data: 17/10/2022 
