Placa de Vídeo EVGA NVIDIA GeForce RTX 3090 Ti FTW3 Black Gaming, 24GB GDDR6X, LHR, iCX3, ARGB LED, DLSS, Ray Tracing - 24G-P5-4981-KR ; R$ 10.699,99 ;  Data: 04/10/2022 
Placa de Vídeo Asus NVIDIA GeForce RTX 3090 24GB GDDR6X ROG-STRIX-RTX3090-O24G-GAMING ; R$ 25.500,00 ;  Data: 04/10/2022 
Placa de Vídeo Asus GeForce RTX 3080 10GB - GDDR6X 320 bits ROG Strix Gaming ; R$ 17.999,10 ;  Data: 04/10/2022 
Placa de Vídeo Galax GeForce GT 1030 2GB - DDR4 64 bits ; R$ 1.151,10 ;  Data: 04/10/2022 
Placa de Vídeo NVIDIA Afox GeForce GT 610 1GB DDR3 64Bits ; R$ 230,00 ;  Data: 04/10/2022 
Placa de Vídeo Zotac Gaming NVIDIA GeForce RTX 2060, 6GB, GDDR6 - ZT-T20600H-10M ; R$ 1.699,99 ;  Data: 04/10/2022 
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3050 Gaming OC, 8GB GDDR6, RGB, LHR, DLSS, Ray Tracing - GV-N3050GAMING OC-8GD ; R$ 2.229,99 ;  Data: 04/10/2022 
Suporte Placa De Vídeo Vga Anti Empenamento Pc Gpu - PEKO ; R$ 35,00 ;  Data: 04/10/2022 
Placa de Vídeo Afox NVIDIA Geforce GT740 4GB - GDDR5 128 bits ; R$ 899,10 ;  Data: 04/10/2022 
Placa de Vídeo Galax NVIDIA GeForce GTX 1660 Ti 1-Click OC 6GB, GDDR6 - 60IRL7DSY91C ; R$ 1.999,99 ;  Data: 04/10/2022 
Placa de Video Galax Geforce RTX 3070 (1 Click OC) LHR 8GB GDDR6 256 bits - 37NSL6MD2KCH ; R$ 5.148,36 ;  Data: 04/10/2022 
Placa de Vídeo Afox Radeon R5220 2GB SDDR3 64 bits ; R$ 269,90 ;  Data: 04/10/2022 
Placa de Vídeo Afox GeForce GT730 4GB DDR3 - AF730-4096D3L6 ; R$ 746,90 ;  Data: 04/10/2022 
Placa de Vídeo Gigabyte Geforce RTX 2060 6GB GDDR6 DLSS Ray Tracing GV-N2060D6-6GD ; R$ 3.371,22 ;  Data: 04/10/2022 
Placa de Vídeo Galax GeForce RTX 2060 Super 8GB - GDDR6 26ISL6HP68LD - Nvidia ; R$ 3.199,00 ;  Data: 04/10/2022 
Placa de Vídeo Afox Radeon RX 560 4gb Ddr5 128Bits ; R$ 1.417,90 ;  Data: 04/10/2022 
Placa De Vídeo Nvidia Pny Rtx Series T600 Vcnt600-pb 4gb ; R$ 1.699,99 ;  Data: 04/10/2022 
Placa de Vídeo Power Color Radeon RX 550 4GB - DDR5 128 bits ; R$ 1.331,10 ;  Data: 04/10/2022 
Placa De Video Galax Nvidia Geforce Rtx 3070 Oc 8gb Gddr6 256bit ; R$ 4.499,00 ;  Data: 04/10/2022 
Placa de Video Colorful iGame GeForce RTX 3080 Vulcan OC LHR-V 10GB GDDR6X 320bit ; R$ 6.401,03 ;  Data: 04/10/2022 
Placa De Video Rx 550 4gb Gdd5 128 Bits - PCYES ; R$ 999,00 ;  Data: 04/10/2022 
Placa de vídeo Nvidia Geforce GTX 750 4GB GDDR5 BL750-4096D5H6 Snake - AFOX ; R$ 1.200,99 ;  Data: 04/10/2022 
Placa de Vídeo EVGA NVIDIA GeForce RTX 2060 SC Gaming, 6GB, GDDR6 - 06G-P4-2062-KR ; R$ 1.859,99 ;  Data: 04/10/2022 
Placa de Vídeo Galax GeForce GTX 1050 TI 4GB - GDDR5 128 Bits 50IQH8DSQ3DD ; R$ 1.889,10 ;  Data: 04/10/2022 
Placa De Video Asus Geforce Rtx 3050 Oc 8g Gddr6 128bits Dual-rtx3050-o8g ; R$ 2.698,28 ;  Data: 04/10/2022 
Placa de Video Nvidia Geforce G210 1GB DDR3 64 Bits Single F - PCYES ; R$ 195,00 ;  Data: 04/10/2022 
Placa de Video Colorful iGame GeForce RTX 3070 Ti Advanced OC 8GB GDDR6X 256bit ; R$ 4.625,93 ;  Data: 04/10/2022 
Placa de Vídeo NVIDIA GeForce RTX 2060 Super 8GB GDDR6 PCI-E 3.0 26ISL6HP68LD GALAX ; R$ 2.751,24 ;  Data: 04/10/2022 
Placa de Vídeo NVIDIA GeForce RTX 3060 TI Ghost V1 8GB GDDR6 LHR NE6306T019P2-190AB V1 GAINWARD ; R$ 3.911,96 ;  Data: 04/10/2022 
Placa de Vídeo Afox Radeon R5 220, 2GB DDR3, 64bits, DVI/HDMI/VGA, AFR5220-2048D3L5-V2 ; R$ 256,90 ;  Data: 04/10/2022 
Placa de Vídeo Asus GeForce RTX 3090 24GB - GDDR6X 384 bits ROG Strix Gaming ; R$ 29.699,10 ;  Data: 04/10/2022 
Placa de Vídeo Asus TUF GeForce RTX 3060 90YV0GC0M0NA10i ; R$ 4.145,74 ;  Data: 04/10/2022 
Placa de Vídeo Colorful Geforce GT 1030 4gb Ddr4 HDMI/VGA ; R$ 944,90 ;  Data: 04/10/2022 
Placa de Vídeo Galax NVIDIA GeForce RTX 2060 Super OC, 8GB, DDR6 - 26ISL6HP68LD ; R$ 2.199,99 ;  Data: 04/10/2022 
Placa De Vídeo Galax Rtx 2060 6gb Gddr6 - 26nrl7hpx7oc ; R$ 2.699,00 ;  Data: 04/10/2022 
Placa de Vídeo Nvidia Asus TUF Gaming RTX 3070 OC 8GB GDDR6 ; R$ 5.391,21 ;  Data: 04/10/2022 
